2024-07-06 12:26:12.687381;353;H=71;T=29;Hs=57.53473;sp=2;sf=7;rx_timestamp=1479569480; rssi=-102; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:26:35.229849;354;H=71;T=29;Hs=57.53473;sp=2;sf=12;rx_timestamp=1502612452; rssi=-102; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:26:55.219533;355;H=71;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1521807492; rssi=-87; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:27:17.766776;356;H=71;T=29;Hs=57.53473;sp=20;sf=12;rx_timestamp=1544848460; rssi=-91; snr=8.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:27:38.223707;357;H=70;T=29;Hs=57.53473;sp=2;sf=7;rx_timestamp=1565105407; rssi=-105; snr=4.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:28:01.277855;358;H=70;T=29;Hs=57.53473;sp=2;sf=12;rx_timestamp=1588148377; rssi=-105; snr=5.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:28:20.757329;359;H=70;T=29;Hs=57.53473;sp=20;sf=7;rx_timestamp=1607343417; rssi=-89; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:28:43.711571;360;H=70;T=29;Hs=57.53473;sp=20;sf=12;rx_timestamp=1630390394; rssi=-91; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:29:06.265421;361;H=71;T=29;Hs=57.49911;sp=2;sf=7;rx_timestamp=1652742328; rssi=-96; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:29:29.200006;362;H=71;T=29;Hs=57.49911;sp=2;sf=12;rx_timestamp=1675783296; rssi=-102; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:29:47.696973;363;H=71;T=29;Hs=57.49911;sp=20;sf=7;rx_timestamp=1694978327; rssi=-78; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:30:31.200670;365;H=71;T=29;Hs=57.46349;sp=2;sf=7;rx_timestamp=1738279262; rssi=-93; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:30:54.241187;366;H=71;T=29;Hs=57.46349;sp=2;sf=12;rx_timestamp=1761323216; rssi=-96; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:31:13.327024;367;H=71;T=29;Hs=57.46349;sp=20;sf=7;rx_timestamp=1780516258; rssi=-88; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:31:36.221024;368;H=71;T=29;Hs=57.46349;sp=20;sf=12;rx_timestamp=1803601220; rssi=-80; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:32:26.729154;369;H=71;T=28;Hs=60.91913;sp=2;sf=7;rx_timestamp=1854004138; rssi=-60; snr=7.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:32:50.272644;370;H=71;T=28;Hs=60.91913;sp=2;sf=12;rx_timestamp=1877045099; rssi=-68; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:33:09.767912;371;H=71;T=28;Hs=60.91913;sp=20;sf=7;rx_timestamp=1896242143; rssi=-57; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:33:32.710564;372;H=71;T=28;Hs=60.91913;sp=20;sf=12;rx_timestamp=1919283110; rssi=-70; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:34:15.386093;374;H=71;T=28;Hs=44.7809;sp=2;sf=12;rx_timestamp=1962418333; rssi=-75; snr=10.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:34:34.904180;375;H=71;T=28;Hs=44.7809;sp=20;sf=7;rx_timestamp=1981775001; rssi=-62; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:34:57.884122;376;H=71;T=28;Hs=44.7809;sp=20;sf=12;rx_timestamp=2004817967; rssi=-64; snr=7.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:35:17.705033;377;H=79;T=28;Hs=47.80905;sp=2;sf=7;rx_timestamp=2025077952; rssi=-82; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:35:41.750571;378;H=79;T=28;Hs=47.80905;sp=2;sf=12;rx_timestamp=2048120915; rssi=-86; snr=9.0; sfrx=12; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
2024-07-06 12:36:00.744588;379;H=79;T=28;Hs=47.80905;sp=20;sf=7;rx_timestamp=2067315942; rssi=-64; snr=6.0; sfrx=7; sftx=0; tx_trials=0; tx_power=14; tx_time_on_air=0; tx_counter=0; tx_frequency=0;prof=50;dist=0;obst=0
